sentence_id,text,label,score,start,end,sentence
8,Sainte Foy des Conques,LOC,0.998,94,116,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,Chur,LOC,1.0,277,281,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,Schlettstadt,LOC,1.0,290,302,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,Kollegiatstift Straßburg,ORG,0.999,337,361,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,St. Gallen,LOC,1.0,381,391,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
8,UB,MISC,0.832,526,528,"Grab in Schlettstadt (Elsaß) durch eine Schenkung der Hildegard von Hohenstaufen an die Abtei Sainte Foy des Conques übergingen, wo die Gebeine der Heiligen ruhten, Bei der wohl auf Reliquienübertragung zurückgehenden Titelverpflanzung ist an eine Vermittlung durch das Bistum Chur, das in Schlettstadt eine Kirche besaß, oder durch das Kollegiatstift Straßburg zu denken, das mit St. Gallen in Gebetsverbrüderung stand, Die erste urkundliche Erwähnung des Gotteshauses erfolgt anläßlich einer Jahrzeitstiftung im Jahre 1225 (UB III, S.69)."
10,Ulrich VI,PER,1.0,85,94,"264), zwei Pfründen, die «mehrere » und die «mindere pfrund », von denen bereits Abt Ulrich VI."
12,Ulrich VIII,PER,1.0,0,11,Ulrich VIII.
14,St. Fiden,LOC,0.998,48,57,"An hohen Festtagen mußten auch die Priester von St. Fiden am Chordienst der Stiftskirche teilnehmen (UB III, S.73) und am ersten Tag der Rogationen ging die Prozession zu diesem"
14,UB,MISC,0.502,101,103,"An hohen Festtagen mußten auch die Priester von St. Fiden am Chordienst der Stiftskirche teilnehmen (UB III, S.73) und am ersten Tag der Rogationen ging die Prozession zu diesem"
17,Ulrich VI,PER,1.0,47,56,Im Jahre 1208 — während der Fehde zwischen Abt Ulrich VI.
18,Werner von Konstanz,PER,1.0,12,31,"und Bischof Werner von Konstanz — wurde nach der Schlacht auf dem Breitfeld die Kirche von St. Fiden, «die gar wol mit allerlei klainoter und kilchengeprenge begabt und geziert war», von einigen bischöflichen Edlen geplündert."
18,Breitfeld,LOC,1.0,66,75,"und Bischof Werner von Konstanz — wurde nach der Schlacht auf dem Breitfeld die Kirche von St. Fiden, «die gar wol mit allerlei klainoter und kilchengeprenge begabt und geziert war», von einigen bischöflichen Edlen geplündert."
18,St. Fiden,LOC,1.0,91,100,"und Bischof Werner von Konstanz — wurde nach der Schlacht auf dem Breitfeld die Kirche von St. Fiden, «die gar wol mit allerlei klainoter und kilchengeprenge begabt und geziert war», von einigen bischöflichen Edlen geplündert."
21,Fides,PER,0.999,58,63,"Es waren dies zwei Altäre, einer im Chor zu Ehren von St. Fides und ein anderer «in medio» zu Ehren von St. Agatha, 1644 schenkte Abt Pius eine Glocke und am 31. Juli 1661 fand nach umfassender Renovation eine Neuweihe der Kirche und folgender drei Altäre statt: 1."
21,Agatha,PER,0.999,108,114,"Es waren dies zwei Altäre, einer im Chor zu Ehren von St. Fides und ein anderer «in medio» zu Ehren von St. Agatha, 1644 schenkte Abt Pius eine Glocke und am 31. Juli 1661 fand nach umfassender Renovation eine Neuweihe der Kirche und folgender drei Altäre statt: 1."
21,Pius,PER,1.0,134,138,"Es waren dies zwei Altäre, einer im Chor zu Ehren von St. Fides und ein anderer «in medio» zu Ehren von St. Agatha, 1644 schenkte Abt Pius eine Glocke und am 31. Juli 1661 fand nach umfassender Renovation eine Neuweihe der Kirche und folgender drei Altäre statt: 1."
22,St.,PER,0.822,21,24,"im Chor zu Ehren von St. Fides, 2."
22,Fides,PER,0.988,25,30,"im Chor zu Ehren von St. Fides, 2."
24,Tablat,LOC,1.0,41,47,"Am 7. April 1776 schlossen die Gemeinden Tablat und Rotmonten mit dem Offizial P. Iso Walser, der zahlreiche Kirchenbauten im Abteigebiet leitete, einen Vertrag über den Neubau der Kirche St. Fiden ab®."
24,Rotmonten,LOC,1.0,52,61,"Am 7. April 1776 schlossen die Gemeinden Tablat und Rotmonten mit dem Offizial P. Iso Walser, der zahlreiche Kirchenbauten im Abteigebiet leitete, einen Vertrag über den Neubau der Kirche St. Fiden ab®."
24,Iso Walser,PER,1.0,82,92,"Am 7. April 1776 schlossen die Gemeinden Tablat und Rotmonten mit dem Offizial P. Iso Walser, der zahlreiche Kirchenbauten im Abteigebiet leitete, einen Vertrag über den Neubau der Kirche St. Fiden ab®."
24,St. Fiden,LOC,0.999,188,197,"Am 7. April 1776 schlossen die Gemeinden Tablat und Rotmonten mit dem Offizial P. Iso Walser, der zahlreiche Kirchenbauten im Abteigebiet leitete, einen Vertrag über den Neubau der Kirche St. Fiden ab®."
27,Ferdinand Beer,PER,1.0,0,14,Ferdinand Beer aus der Au im Bregenzerwald den Bauakkord zu vereinbaren.
27,Au,LOC,1.0,23,25,Ferdinand Beer aus der Au im Bregenzerwald den Bauakkord zu vereinbaren.
27,Bregenzerwald,LOC,1.0,29,42,Ferdinand Beer aus der Au im Bregenzerwald den Bauakkord zu vereinbaren.
30,Ferdinand Beer,PER,0.989,0,14,"Ferdinand Beer, ein Neffe des Joh."
30,Joh,PER,0.986,30,33,"Ferdinand Beer, ein Neffe des Joh."
31,Michael Beer von Bildstein,PER,0.884,0,26,"Michael Beer von Bildstein, leitete damals den Bau der Neuen Pfalz in St. Gallen®."
31,Neuen Pfalz,LOC,0.998,55,66,"Michael Beer von Bildstein, leitete damals den Bau der Neuen Pfalz in St. Gallen®."
31,St. Gallen,LOC,1.0,70,80,"Michael Beer von Bildstein, leitete damals den Bau der Neuen Pfalz in St. Gallen®."
32,Beer,PER,1.0,46,50,Am 14. Juni 1776 schloß der Offizial dann mit Beer den Bauvertrag ab.
37,Antoni Dick,PER,1.0,139,150,"Schon im Sommer des gleichen Jahres war die neue Kirche unter Dach und am 14. Juli 1778 auch der Turm vollendet, Die Deckenmalereien schuf Antoni Dick aus Isny, die Stukkaturen Peter Antoni Moosbrugger."
37,Isny,LOC,1.0,155,159,"Schon im Sommer des gleichen Jahres war die neue Kirche unter Dach und am 14. Juli 1778 auch der Turm vollendet, Die Deckenmalereien schuf Antoni Dick aus Isny, die Stukkaturen Peter Antoni Moosbrugger."
37,Peter Antoni Moosbrugger,PER,1.0,177,201,"Schon im Sommer des gleichen Jahres war die neue Kirche unter Dach und am 14. Juli 1778 auch der Turm vollendet, Die Deckenmalereien schuf Antoni Dick aus Isny, die Stukkaturen Peter Antoni Moosbrugger."
38,Dick,PER,1.0,0,4,"Dick übernahm auch die Ausführung «von 100 Stuck großen Malereien», die im einzelnen nicht mehr nachzuweisen sind."
39,Franz Antoni Dürr,PER,1.0,119,136,"Die sechseckigen Wabenscheiben bestanden aus «schönem weißlechtem durchsichtigen Kemptner Glas», Den Hochaltar erbaute Franz Antoni Dürr aus Überlingen, die nun nicht mehr vorhandene Orgel Joh."
39,Überlingen,LOC,1.0,141,151,"Die sechseckigen Wabenscheiben bestanden aus «schönem weißlechtem durchsichtigen Kemptner Glas», Den Hochaltar erbaute Franz Antoni Dürr aus Überlingen, die nun nicht mehr vorhandene Orgel Joh."
39,Joh.,PER,0.997,189,193,"Die sechseckigen Wabenscheiben bestanden aus «schönem weißlechtem durchsichtigen Kemptner Glas», Den Hochaltar erbaute Franz Antoni Dürr aus Überlingen, die nun nicht mehr vorhandene Orgel Joh."
40,Michael Grass,PER,1.0,0,13,Michael Grass in Lommis (Thurgau).
40,Lommis,LOC,1.0,17,23,Michael Grass in Lommis (Thurgau).
40,Thurgau,LOC,1.0,25,32,Michael Grass in Lommis (Thurgau).
41,Beda,PER,1.0,45,49,Konsekration der vier Seitenaltäre durch Abt Beda am 5. Oktober 1778 und des Hochaltars durch den Konstanzer Weihbischof Baron von Hornstein am 24.
41,Baron von Hornstein,PER,1.0,121,140,Konsekration der vier Seitenaltäre durch Abt Beda am 5. Oktober 1778 und des Hochaltars durch den Konstanzer Weihbischof Baron von Hornstein am 24.
44,Fides,PER,1.0,0,5,"Fides an die zweite Stelle rückte, an die erste aber der Titel «z."
45,Jesu,PER,1.0,15,19,"E. des Herzens Jesu», trägt seither auch die Kirche diesen Namen."
47,Idda,PER,1.0,0,4,Idda (s. unten S. 196).
53,Kesselhalden,LOC,1.0,68,80,"Auflassung des Friedhofes 1909, nach Eröffnung des Gottesackers auf Kesselhalden."
55,Hans Burkard,PER,1.0,39,51,"Letzte große Renovation 1954/55 (Arch. Hans Burkard, St. Gallen): Verlängerung des Schiffes gegen Westen um 6,25 m; neuer Innenanstrich und Außenverputz; Restaurierung der Deckengemälde, des Stucks und der Altäre (durch K."
55,St. Gallen,LOC,1.0,53,63,"Letzte große Renovation 1954/55 (Arch. Hans Burkard, St. Gallen): Verlängerung des Schiffes gegen Westen um 6,25 m; neuer Innenanstrich und Außenverputz; Restaurierung der Deckengemälde, des Stucks und der Altäre (durch K."
55,K,PER,1.0,220,221,"Letzte große Renovation 1954/55 (Arch. Hans Burkard, St. Gallen): Verlängerung des Schiffes gegen Westen um 6,25 m; neuer Innenanstrich und Außenverputz; Restaurierung der Deckengemälde, des Stucks und der Altäre (durch K."
56,Haaga,PER,1.0,0,5,"Haaga, Rorschach); Eliminierung der Glasmalereien von 1895; neue Empore, Orgel, Windfangtüren, Beichtstühle und Bodenbelag."
56,Rorschach,LOC,1.0,7,16,"Haaga, Rorschach); Eliminierung der Glasmalereien von 1895; neue Empore, Orgel, Windfangtüren, Beichtstühle und Bodenbelag."
60,Naef,PER,1.0,0,4,"Naef, S.101f."
61,Nüscheler,PER,1.0,2,11,"— Nüscheler, S. 107. — HBLS VI, S.622 (Art. Tablat)."
61,HBLS,ORG,0.835,23,27,"— Nüscheler, S. 107. — HBLS VI, S.622 (Art. Tablat)."
62,P.,PER,0.981,2,4,— P.
63,Staerkle,PER,1.0,0,8,"Staerkle, Die hl."
63,Die hl.,MISC,0.979,10,17,"Staerkle, Die hl."
64,Fides,MISC,1.0,0,5,Fides (St.Gallen 1931).
64,St.Gallen,LOC,1.0,7,16,Fides (St.Gallen 1931).
65,Gaudy,PER,1.0,2,7,"— Gaudy, S.77, Abb."
68,Thomas Scherrer,PER,1.0,2,17,"— Thomas Scherrer, Bau- und Renovationsgeschichte der Kirche St. Fiden (1940), Ms. im Pfarrarch."
68,St. Fiden,LOC,0.996,61,70,"— Thomas Scherrer, Bau- und Renovationsgeschichte der Kirche St. Fiden (1940), Ms. im Pfarrarch."
69,St. Fiden,LOC,0.997,0,9,St. Fiden.
81,Scherrer,PER,1.0,123,131,"Sie sollte der Bestattung der geistlichen Herren dienen und barg ein «schönes Altärlein in Form schwarzen Marmels gefaßt» (Scherrer, S.53)."
101,Niederbüren,LOC,1.0,159,170,"In seiner ganzen Disposition, dem nur wenig vortretenden Querschiff und der Placierung des Turmes am Chorhaupt ist der Bau augenscheinlich durch die Kirche zu Niederbüren (Kanton St.Gallen) beeinflußt, die 1761-1765 von Joh."
101,Kanton,LOC,0.986,172,178,"In seiner ganzen Disposition, dem nur wenig vortretenden Querschiff und der Placierung des Turmes am Chorhaupt ist der Bau augenscheinlich durch die Kirche zu Niederbüren (Kanton St.Gallen) beeinflußt, die 1761-1765 von Joh."
101,St.Gallen,LOC,0.945,179,188,"In seiner ganzen Disposition, dem nur wenig vortretenden Querschiff und der Placierung des Turmes am Chorhaupt ist der Bau augenscheinlich durch die Kirche zu Niederbüren (Kanton St.Gallen) beeinflußt, die 1761-1765 von Joh."
101,Joh.,PER,0.743,220,224,"In seiner ganzen Disposition, dem nur wenig vortretenden Querschiff und der Placierung des Turmes am Chorhaupt ist der Bau augenscheinlich durch die Kirche zu Niederbüren (Kanton St.Gallen) beeinflußt, die 1761-1765 von Joh."
102,Michael Beer von Bildstein,PER,1.0,0,26,"Michael Beer von Bildstein, einem Onkel des Joh."
102,Joh.,PER,0.926,44,48,"Michael Beer von Bildstein, einem Onkel des Joh."
103,Ferdinand Beer,PER,1.0,0,14,"Ferdinand Beer, erbaut wurde (SKL I, S.71)."
103,SKL I,MISC,0.863,30,35,"Ferdinand Beer, erbaut wurde (SKL I, S.71)."
106,Peter Anton Moosbrugger,PER,1.0,9,32,"Meister: Peter Anton Moosbrugger, 1778"" (Abb. 188)."
114,Fides,PER,1.0,0,5,Fides bekennt mit erhobener Hand vor dem römischen Statthalter Dacianus ihren Glauben an Christus.
114,Dacianus,PER,1.0,63,71,Fides bekennt mit erhobener Hand vor dem römischen Statthalter Dacianus ihren Glauben an Christus.
114,Christus,PER,1.0,89,97,Fides bekennt mit erhobener Hand vor dem römischen Statthalter Dacianus ihren Glauben an Christus.
117,Christus,PER,1.0,16,24,"Oben zeigt sich Christus, das Kreuz mit der Rechten haltend, auf Wolken thronend, und ihm gegenüber ein Engel mit dem Märtyrerkranz."
118,Diana,PER,1.0,50,55,"Die auf einem Postament rechts stehende Figur der Diana mit dem Bogen in der Linken und der Mondsichel auf der Stirn soll daran erinnern, daß Dacianus die Heilige aufforderte, dieser Göttin zu opfern."
118,Dacianus,PER,1.0,142,150,"Die auf einem Postament rechts stehende Figur der Diana mit dem Bogen in der Linken und der Mondsichel auf der Stirn soll daran erinnern, daß Dacianus die Heilige aufforderte, dieser Göttin zu opfern."
120,Langhaus,LOC,0.509,3,11,Im Langhaus: Die Heilige wird auf dem glühenden Rost gefoltert.
121,Caprasius,PER,1.0,47,56,"Die Gestalt ganz links außen darf man wohl mit Caprasius identifizieren, der nach einer späteren Ausschmückung der Legende durch die Standhaftigkeit der Fides bewogen wurde, mit ihr das Martyrium zu teilen."
121,Fides,PER,1.0,153,158,"Die Gestalt ganz links außen darf man wohl mit Caprasius identifizieren, der nach einer späteren Ausschmückung der Legende durch die Standhaftigkeit der Fides bewogen wurde, mit ihr das Martyrium zu teilen."
124,Fides,PER,1.0,71,76,"Zwei herabschwebende Engel tragen einen großen Kruzifixus, vor dem St. Fides kniet, ein flammendes Herz in der Rechten haltend."
125,Katharina,PER,1.0,19,28,Im Vordergrund St. Katharina und Agnes.
125,Agnes,PER,1.0,33,38,Im Vordergrund St. Katharina und Agnes.
126,Fides,PER,1.0,38,43,"Die Darstellung versinnbildlicht, daß Fides ihr in Glaubenstreue brennendes Herz Christus darbietet und in die Schar der Märtyrerinnen aufgenommen wird‘."
126,Christus,PER,1.0,81,89,"Die Darstellung versinnbildlicht, daß Fides ihr in Glaubenstreue brennendes Herz Christus darbietet und in die Schar der Märtyrerinnen aufgenommen wird‘."
129,Antoni Dick pinx,PER,0.912,44,60,Seine Signatur steht auf dem Bild im Chor: «Antoni Dick pinx.
132,Franz Antoni Dürr von Überlingen,PER,0.996,51,83,"Der für den Hochaltar dokumentarisch nachgewiesene Franz Antoni Dürr von Überlingen ist auch als Meister der Seitenaltäre anzunehmen, wie ein Vergleich gewisser dekorativer Elemente, wie etwa der Putten am Hauptaltar mit denen der Nebenaltäre, beweist."
138,Franz Antoni Dürr,PER,1.0,26,43,"Im gleichen Jahr lieferte Franz Antoni Dürr bereits einen Entwurf, der im architektonischen Aufbau annähernd dem hernach ausgeführten Werk entsprach und sich von ihm nur dadurch unterschied, daß er an Stelle des inneren Säulenpaares gestufte Pilaster und statt eines Altarblattes eine Nische mit der Figur der hl."
139,Fides,PER,1.0,0,5,Fides anordnete.
141,Antoni Dürr,PER,1.0,25,36,Am 8. Januar 1784 schloß Antoni Dürr (Dür) mit P.
141,Dür,PER,1.0,38,41,Am 8. Januar 1784 schloß Antoni Dürr (Dür) mit P.
141,P.,PER,0.991,47,49,Am 8. Januar 1784 schloß Antoni Dürr (Dür) mit P.
142,Iso Walser,PER,1.0,0,10,Iso Walser einen Vertrag über die Herstellung des Hochaltars.
143,Dürr,PER,1.0,16,20,"Daraufhin legte Dürr einen neuen Entwurf vor, an dem bei der Ausführung nur geringfügige Modifikationen vorgenommen wurden (Abb. 193)."
145,Beda Angehrn,PER,0.919,26,38,"Hier das Wappen des Abtes Beda Angehrn, umgeben von Putten."
146,Gallus,PER,1.0,60,66,"Zu Füßen der Säulen stehen vier Statuen: die Klosterpatrone Gallus und Otmar sowie St. Fides und Magdalena, die beiden Nebenpatroninnen des Altars."
146,Otmar,PER,1.0,71,76,"Zu Füßen der Säulen stehen vier Statuen: die Klosterpatrone Gallus und Otmar sowie St. Fides und Magdalena, die beiden Nebenpatroninnen des Altars."
146,Fides,PER,1.0,87,92,"Zu Füßen der Säulen stehen vier Statuen: die Klosterpatrone Gallus und Otmar sowie St. Fides und Magdalena, die beiden Nebenpatroninnen des Altars."
146,Magdalena,PER,1.0,97,106,"Zu Füßen der Säulen stehen vier Statuen: die Klosterpatrone Gallus und Otmar sowie St. Fides und Magdalena, die beiden Nebenpatroninnen des Altars."
148,Drei Könige,MISC,0.742,34,45,Altarblatt: Anbetung der Heiligen Drei Könige von Severin Benz in München 1869.
148,Severin Benz,PER,1.0,50,62,Altarblatt: Anbetung der Heiligen Drei Könige von Severin Benz in München 1869.
148,München,LOC,1.0,66,73,Altarblatt: Anbetung der Heiligen Drei Könige von Severin Benz in München 1869.
149,Dick,PER,1.0,45,49,"Im Frontispiz Herz-Jesu-Bild, vermutlich von Dick', wie die anderen Giebelstücke?"
151,Maria,PER,1.0,130,135,"Die Seitenaltäre sind paarweise als Pendants konzipiert: Die beiden zu seiten des Choreingangs stehenden Altäre, zu Ehren von St. Maria und Joseph, zeigen zweisäulige Aufsätze mit geschweiften Giebeln über «zurückgedrängtem » Hauptgesims."
151,Joseph,PER,1.0,140,146,"Die Seitenaltäre sind paarweise als Pendants konzipiert: Die beiden zu seiten des Choreingangs stehenden Altäre, zu Ehren von St. Maria und Joseph, zeigen zweisäulige Aufsätze mit geschweiften Giebeln über «zurückgedrängtem » Hauptgesims."
153,Joachim,PER,1.0,243,250,"An ihrer Stelle wurden 1954 eingesetzt: an der Evangelienseite eine aus dem schweizerischen Kunsthandel stammende neu gefaßte Figur der Muttergottes, an der Epistelseite eine aus dem alten Bestand noch vorhandene Statue, die ursprünglich wohl Joachim darstellen sollte, hier jedoch als St. Joseph (Altarpatron) interpretiert ist."
153,St.,PER,0.756,286,289,"An ihrer Stelle wurden 1954 eingesetzt: an der Evangelienseite eine aus dem schweizerischen Kunsthandel stammende neu gefaßte Figur der Muttergottes, an der Epistelseite eine aus dem alten Bestand noch vorhandene Statue, die ursprünglich wohl Joachim darstellen sollte, hier jedoch als St. Joseph (Altarpatron) interpretiert ist."
153,Joseph,PER,0.999,290,296,"An ihrer Stelle wurden 1954 eingesetzt: an der Evangelienseite eine aus dem schweizerischen Kunsthandel stammende neu gefaßte Figur der Muttergottes, an der Epistelseite eine aus dem alten Bestand noch vorhandene Statue, die ursprünglich wohl Joachim darstellen sollte, hier jedoch als St. Joseph (Altarpatron) interpretiert ist."
154,Maria vom Guten Rat,PER,0.999,18,37,"Frontispizbilder: Maria vom Guten Rat, Josephs Tod."
154,Josephs,PER,1.0,39,46,"Frontispizbilder: Maria vom Guten Rat, Josephs Tod."
155,Wiborada,PER,1.0,43,51,"Bei den Querschiffaltären zu Ehren von St. Wiborada und Theodora (Evangelienseite) und des Schutzengels (Epistelseite) sind glatte Säulen mit Pilastern kombiniert, das Gebälk segmentförmig hinaufgetrieben."
155,Theodora,PER,1.0,56,64,"Bei den Querschiffaltären zu Ehren von St. Wiborada und Theodora (Evangelienseite) und des Schutzengels (Epistelseite) sind glatte Säulen mit Pilastern kombiniert, das Gebälk segmentförmig hinaufgetrieben."
157,Deschwandens,PER,1.0,34,46,"Die Hauptbilder aus der Werkstatt Deschwandens; an der Evangelienseite St. Fides und oben Kreuzigung (von Dick), an der Epistelseite Schutzengel und oben Auferstehung, Das Schutzengelbild signiert «Paul Deschwanden 1853»."
157,St. Fides,MISC,0.725,71,80,"Die Hauptbilder aus der Werkstatt Deschwandens; an der Evangelienseite St. Fides und oben Kreuzigung (von Dick), an der Epistelseite Schutzengel und oben Auferstehung, Das Schutzengelbild signiert «Paul Deschwanden 1853»."
157,Dick,PER,1.0,106,110,"Die Hauptbilder aus der Werkstatt Deschwandens; an der Evangelienseite St. Fides und oben Kreuzigung (von Dick), an der Epistelseite Schutzengel und oben Auferstehung, Das Schutzengelbild signiert «Paul Deschwanden 1853»."
157,Paul Deschwanden,PER,1.0,198,214,"Die Hauptbilder aus der Werkstatt Deschwandens; an der Evangelienseite St. Fides und oben Kreuzigung (von Dick), an der Epistelseite Schutzengel und oben Auferstehung, Das Schutzengelbild signiert «Paul Deschwanden 1853»."
164,St.Anna,PER,1.0,76,83,"Auf der Glorie des Oberteils ein Laubkranz, belegt mit Relieffiguren: unten St.Anna und Maria, zu seiten des Hostienbehälters allegorische Gestalten von Glaube und Hoffnung, oben Gottvater mit der Taube."
164,Maria,PER,1.0,88,93,"Auf der Glorie des Oberteils ein Laubkranz, belegt mit Relieffiguren: unten St.Anna und Maria, zu seiten des Hostienbehälters allegorische Gestalten von Glaube und Hoffnung, oben Gottvater mit der Taube."
164,Gottvater,PER,0.999,179,188,"Auf der Glorie des Oberteils ein Laubkranz, belegt mit Relieffiguren: unten St.Anna und Maria, zu seiten des Hostienbehälters allegorische Gestalten von Glaube und Hoffnung, oben Gottvater mit der Taube."
165,Augsburg,LOC,1.0,15,23,"Beschauzeichen Augsburg, Meistermarke des Joh."
166,Joachim Lutz,PER,0.978,0,12,"Joachim Lutz (gest. 1727), Rosenberg Nr. 759; Schröder Nr. 7a (Abb. 196)."
166,Rosenberg,PER,0.988,27,36,"Joachim Lutz (gest. 1727), Rosenberg Nr. 759; Schröder Nr. 7a (Abb. 196)."
166,Schröder,PER,0.958,46,54,"Joachim Lutz (gest. 1727), Rosenberg Nr. 759; Schröder Nr. 7a (Abb. 196)."
171,Christus,PER,1.0,76,84,"Auf dem am Rand gewellten Fuß silbern ausgesparte getriebene Medaillons: a) Christus am Ölberg; b) Kreuzigung; c) Wappen Meyer-Bircher, Luzern."
171,Ölberg,LOC,0.997,88,94,"Auf dem am Rand gewellten Fuß silbern ausgesparte getriebene Medaillons: a) Christus am Ölberg; b) Kreuzigung; c) Wappen Meyer-Bircher, Luzern."
