sentence_id,sentence,predicted,n_predicted,n_wrong,n_missed,notes
39,"Die sechseckigen Wabenscheiben bestanden aus «schönem weißlechtem durchsichtigen Kemptner Glas», Den Hochaltar erbaute Franz Antoni Dürr aus Überlingen, die nun nicht mehr vorhandene Orgel Joh.",PER: Franz Antoni Dürr | LOC: Überlingen | PER: Joh.,3,,,
41,Konsekration der vier Seitenaltäre durch Abt Beda am 5. Oktober 1778 und des Hochaltars durch den Konstanzer Weihbischof Baron von Hornstein am 24.,PER: Beda | PER: Baron von Hornstein,2,,,
42,Mai 1779°.,,0,,,
45,"E. des Herzens Jesu», trägt seither auch die Kirche diesen Namen.",PER: Jesu,1,,,
48,"1874 Erhöhung des Turmes, 1880 Vergrößerung der Empore.",,0,,,
56,"Haaga, Rorschach); Eliminierung der Glasmalereien von 1895; neue Empore, Orgel, Windfangtüren, Beichtstühle und Bodenbelag.",PER: Haaga | LOC: Rorschach,2,,,
58,"Alte Pläne ohne Datum und Unterschrift im Stiftsarch.: Grundriß, Längs-und Querschnitt, Westfront.",,0,,,
61,"— Nüscheler, S. 107. — HBLS VI, S.622 (Art. Tablat).",PER: Nüscheler | ORG: HBLS,2,,,
66,Nrn.,,0,,,
69,St. Fiden.,LOC: St. Fiden,1,,,
73,"Das Pfrundhaus erscheint hier als ein Bau mit gemauertem Untergeschoß und vorkragendem gezimmertem Obergaden, über dem ein Walmdach ruht.",,0,,,
75,Zweifellos reichte dieses Gebäude noch ins Mittelalter zurück.,,0,,,
77,In gleicher Höhe mit den rundbogigen Fenstern des Schiffes sieht man ein querrechteckiges Wandbild.,,0,,,
80,"Um 1749/50 fügte man der Kirche gegen den Friedhof hin eine kleine «Seelenkapelle» an, die sich zum Schiff hin öffnete.",,0,,,
81,"Sie sollte der Bestattung der geistlichen Herren dienen und barg ein «schönes Altärlein in Form schwarzen Marmels gefaßt» (Scherrer, S.53).",PER: Scherrer,1,,,
84,II.,,0,,,
85,"Der bestehende Bau erhebt sich nordöstlich des Areals, auf dem die alte Kirche stand.",,0,,,
89,"Die Belichtung erfolgt durch schmale rundbogige Fenster — im Schiff ehemals drei, heute vier Achsen, im Querschiff deren zwei —-, über denen jeweils noch ein weiteres von gleicher Form und Breite, jedoch geringerer Höhe angeordnet ist.",,0,,,
90,"Diese ungewöhnliche, nicht der üblichen ovalen Oculi sich bedienende Disposition wirkt beinahe wie die Projizierung einer basilikalen Fensteranordnung auf eine und dieselbe Fläche.",,0,,,
92,"Es kam auf diese Weise jene Abtreppung zustande, die erst die Möglichkeit zu der eigenartigen, hernach zu erwähnenden Altaranordnung gab (Abb. 185, 189).",,0,,,
94,Die Seitenarme des Querschiffs erscheinen nur als Risalite und beeinflussen die Geschlossenheit der Dachmaße nicht (Abb. 186).,,0,,,
95,An der Nordseite des Chores die dreigeschossige Sakristei.,,0,,,
96,Der Turm steht am Chorhaupt in der Mittelachse der Anlage.,,0,,,
101,"In seiner ganzen Disposition, dem nur wenig vortretenden Querschiff und der Placierung des Turmes am Chorhaupt ist der Bau augenscheinlich durch die Kirche zu Niederbüren (Kanton St.Gallen) beeinflußt, die 1761-1765 von Joh.",LOC: Niederbüren | LOC: Kanton | LOC: St.Gallen | PER: Joh.,4,,,
102,"Michael Beer von Bildstein, einem Onkel des Joh.",PER: Michael Beer von Bildstein | PER: Joh.,2,,,
106,"Meister: Peter Anton Moosbrugger, 1778"" (Abb. 188).",PER: Peter Anton Moosbrugger,1,,,
110,"Der Grund wird darin zu finden sein, daß dem Eintretenden das erste Bild in der auf ihn berechneten Perspektive dargeboten werden soll, im übrigen jedoch der Blick vom Chor, dem Zentrum des Kultus her als maßgebend erachtet wird.",,0,,,
111,Merkwürdigerweise laufen die einzelnen Begebnisse nicht in chronologisch richtiger Reihenfolge ab.,,0,,,
115,- 2.,,0,,,
117,"Oben zeigt sich Christus, das Kreuz mit der Rechten haltend, auf Wolken thronend, und ihm gegenüber ein Engel mit dem Märtyrerkranz.",PER: Christus,1,,,
118,"Die auf einem Postament rechts stehende Figur der Diana mit dem Bogen in der Linken und der Mondsichel auf der Stirn soll daran erinnern, daß Dacianus die Heilige aufforderte, dieser Göttin zu opfern.",PER: Diana | PER: Dacianus,2,,,
119,— 3.,,0,,,
121,"Die Gestalt ganz links außen darf man wohl mit Caprasius identifizieren, der nach einer späteren Ausschmückung der Legende durch die Standhaftigkeit der Fides bewogen wurde, mit ihr das Martyrium zu teilen.",PER: Caprasius | PER: Fides,2,,,
122,— 4.,,0,,,
130,"».  Ausstattung Die Altäre, Die Kirche besitzt noch eine einheitliche, nach 1784 entstandene Altarausstattung.",,0,,,
132,"Der für den Hochaltar dokumentarisch nachgewiesene Franz Antoni Dürr von Überlingen ist auch als Meister der Seitenaltäre anzunehmen, wie ein Vergleich gewisser dekorativer Elemente, wie etwa der Putten am Hauptaltar mit denen der Nebenaltäre, beweist.",PER: Franz Antoni Dürr von Überlingen,1,,,
133,Alle fünf Altäre stehen noch durchaus in der barocken Tradition und lassen nur in untergeordneten Einzelheiten - den Triglyphen an den Architraven des Hochaltars sowie den Vasen auf den Querschiffaltären — klassizistische Anklänge vernehmen.,,0,,,
135,Der Hochaltar.,,0,,,
137,Mai 1779 der Aufsatz noch nicht vorhanden.,,0,,,
140,Für die Bekrönung war eine Trinitätsgruppe vorgesehen und am Hauptgeschoß seitlich nur ein Figurenpaar (Abb. 191).,,0,,,
141,Am 8. Januar 1784 schloß Antoni Dürr (Dür) mit P.,PER: Antoni Dürr | PER: Dür | PER: P.,3,,,
142,Iso Walser einen Vertrag über die Herstellung des Hochaltars.,PER: Iso Walser,1,,,
143,"Daraufhin legte Dürr einen neuen Entwurf vor, an dem bei der Ausführung nur geringfügige Modifikationen vorgenommen wurden (Abb. 193).",PER: Dürr,1,,,
144,"Das Hauptbild des bestehenden Hochaltars flankieren je drei triangulär gruppierte glatte Säulen mit Kompositkapitellen, über denen ein stark gekröpftes Gebälk liegt, das zwar am Fuße des Giebels durchläuft, jedoch so zurückgedrängt ist, daß Hauptgeschoß und Giebel ineinander überzugehen scheinen.",,0,,,
147,Auf den Segmentstücken über den Säulen sitzen stark bewegte Engel.,,0,,,
149,"Im Frontispiz Herz-Jesu-Bild, vermutlich von Dick', wie die anderen Giebelstücke?",PER: Dick,1,,,
150,(Abb. 194).,,0,,,
155,"Bei den Querschiffaltären zu Ehren von St. Wiborada und Theodora (Evangelienseite) und des Schutzengels (Epistelseite) sind glatte Säulen mit Pilastern kombiniert, das Gebälk segmentförmig hinaufgetrieben.",PER: Wiborada | PER: Theodora,2,,,
156,Über den Säulen stehen Vasen und zuoberst auf den geschweiften Giebeln Putti.,,0,,,
157,"Die Hauptbilder aus der Werkstatt Deschwandens; an der Evangelienseite St. Fides und oben Kreuzigung (von Dick), an der Epistelseite Schutzengel und oben Auferstehung, Das Schutzengelbild signiert «Paul Deschwanden 1853».",PER: Deschwandens | MISC: St. Fides | PER: Dick | PER: Paul Deschwanden,4,,,
161,"Silber, vergoldet.",,0,,,
163,Der geschweifte und gebauchte Fuß getrieben mit Bandornamentik und Fruchtkörben im Regencestil; birnenförmiger Knauf.,,0,,,
165,"Beschauzeichen Augsburg, Meistermarke des Joh.",LOC: Augsburg,1,,,
168,1. Barockkelch.,,0,,,
169,"Silber, vergoldet.",,0,,,
172,Der Knauf mit drei Engelsköpfen besetzt.,,0,,,
173,Am durchbrochenen Korb zwischen Engeln mit den Passionssymbolen in Kartuschen: a) Hi.,,0,,,
174,König mit Vexillum und Kruzifix (St. Ludwig?),PER: St. | PER: Ludwig,2,,,
175,; b) St. Otmar; c) hl.,PER: Otmar,1,,,
176,"Mönch, vermutlich St. Magnus.",PER: St. | PER: Magnus,2,,,
177,Ohne Marken.,,0,,,
178,Ende 17.,,0,,,
179,Jahrhundert (Abb. 198).,,0,,,
180,- 2.Barockkelch.,,0,,,
181,"Silber, vergoldet.",,0,,,
182,"H. 32,5 cm.",,0,,,
187,Abendmahl.,,0,,,
188,Am Knauf Engelputti mit Kultgeräten.,PER: Engelputti,1,,,
189,Am Korb ebenfalls Engel mit Leidenssymbolen zwischen farbigen Emailmedaillons: a) Christus am Ölberg; b) Kreuztragung; c) Kreuzigung.,PER: Christus am Ölberg,1,,,
190,"Beschauzeichen Augsburg, Meistermarke des Joh.",LOC: Augsburg | PER: Joh.,2,,,
191,"Zeckel, Rosenberg Nr. 756, Schröder Nr. 8 (Abb. 197).",PER: Zeckel | LOC: Rosenberg | PER: Schröder,3,,,
192,— 3.,,0,,,
198,K für 1751/53.,,0,,,
199,"Meisterzeichen des Franz Thaddäus Lang, Rosenberg Nr. 869, Schröder Nr. 18. Im Fuß eine aufgelötete Plakette mit dem quadrierten Wappen Abt Coelestins II.",PER: Franz Thaddäus Lang | LOC: Rosenberg | PER: Schröder | PER: Coelestins II,4,,,
201,— 4.,,0,,,
202,"Rokokokelch, ähnlich wie Nr.3.",,0,,,
203,"H. 28,5 cm.",,0,,,
205,P für 1761/63.,,0,,,
206,Meistermarke nach Rosenberg Nr. 922 vielleicht Joh.,PER: Rosenberg | PER: Joh.,2,,,
208,"Stenglin, nach Schröder Nr. 40 dagegen wahrscheinlich Joh.",PER: Stenglin | PER: Schröder | PER: Joh,3,,,
220,S für 1767/69.,,0,,,
221,Meistermarke des Jos.,PER: Jos.,1,,,
224,— 6.,,0,,,
225,"Rokokokelch, Silber, vergoldet.",,0,,,
226,"H. 22,7 cm.",,0,,,
228,Y für 1777/79.,,0,,,
229,Meistermarke des J.,PER: J.,1,,,
231,"1. Silber, Platte 29,6 x 23,8 cm.",,0,,,
235,"I, Nr. 4, Meistermarke des Carl Ignaz Dietrich, Tab.",PER: Carl Ignaz Dietrich,1,,,
237,"MAGZ 1949, S.46, 147.",ORG: MAGZ,1,,,
238,Um 1730.,,0,,,
239,—- 2.,,0,,,
246,Meistermarke Tab.,,0,,,
247,"I, Nr. 28. — 3.",,0,,,
248,"Silber, ziervergoldet.",,0,,,
250,"15,5 cm.",,0,,,
251,Pontifikalkanne H.,,0,,,
253,Getriebene Rocaille.,,0,,,
254,"Beschauzeichen Augsburg, Lit.",LOC: Augsburg,1,,,
258,"Stenglin, nach Schröder Nr.40 wahrscheinlicher des Joh.",PER: Stenglin | PER: Schröder | PER: Joh,3,,,
262,H. 23 cm.,,0,,,
263,Aufgelegte Spiralen von Weinranken.,,0,,,
265,Beschauzeichen Zug.,LOC: Zug,1,,,
266,Meistermarke des Carl Amade Spillmann (1773 bis 1861).,PER: Carl Amade Spillmann,1,,,
267,Vgl.,,0,,,
269,Vortragekreuz.,,0,,,
271,Höhe ohne Dorn 58 cm.,,0,,,
272,Dreipaßenden mit Kugeln besetzt.,,0,,,
276,In der Mitte die Muttergottes auf der Mondsichel.,,0,,,
277,Weinstock wie auf der Vorderseite.,,0,,,
279,"I, 4.",,0,,,
286,"Die Figuren vollrund, aus Lindenholz geschnitzt und silbern gefaßt.",,0,,,
287,"1. St. Gallus, Höhe ohne Postament 57 cm.",LOC: St. Gallus,1,,,
288,—- 2.,,0,,,
289,"St. Otmar, H. 57 cm.",LOC: St. Otmar,1,,,
291,"St. Agnes, H. 65 cm.",LOC: St. Agnes,1,,,
292,Ausdrucksvolle Arbeiten von noch durchaus barocker Bewegtheit.,,0,,,
293,Vielleicht von Christian Wenzinger.,PER: Christian Wenzinger,1,,,
297,"Beschläge und Schließen eines Missale, Bandwerk.",,0,,,
302,"I, Nr. 26. Auf eine spätere Renovation bezieht sich die Inschrift auf einer Deckelplakette: «A. Barb.",MISC: A. | PER: Barb.,2,,,
306,Großzügiger Dekor von bunten Blumen und Goldranken in Relief- und Chenille-(« Raupen »-) Arbeit.,,0,,,
310,"169, S. 182. Glocken.",,0,,,
312,Von den älteren Glocken sind zwei Geläute bekannt: 1.,,0,,,
315,Vier Glocken von Theodosius Ernst in Lindau (1642).,PER: Theodosius Ernst | LOC: Lindau,2,,,
317,"Das von St. Georgen ostwärts sich erstreckende Hügelgebiet wird schon von altersher die «Nöggersberge» genannt, welcher Name die Erinnerung an einen Eigentümer Notker wach erhält.",LOC: St. Georgen | LOC: Nöggersberge | PER: Notker,3,,,
318,"Es handelt sich hier vielleicht um die gleiche Familie, die noch 1346 in der Person eines Ulrich von Notkersegg vorkommt (UB III, S. 563).",PER: Ulrich von Notkersegg | MISC: UB,2,,,
321,"Am 17. August 1381 schenkten die Brüder Stäbiner eine Hofstatt «in dem tann» neben «Nöggersegge», die sie von der Stiftskustorei zu Erblehen hatten, den Schwestern Ursel Brunner aus dem Rheintal, der Elisabeth Schneider von Berg und der Anna Frig von Utwil «zu rechten Gemeinden» (also zur Begründung einer religiösen Gemeinschaft).",PER: Stäbiner | LOC: Nöggersegge | PER: Ursel Brunner | LOC: Rheintal | PER: Elisabeth Schneider von Berg | PER: Anna Frig von Utwil,6,,,
324,Es handelte sich also um eine Gemeinschaft von Waldschwestern oder Beginen.,,0,,,
325,Außer dem Haus «im Tann» besaßen die Schwestern vorübergehend noch ein Gebäude in der Stadt im Quartier des Portnerhofes.,LOC: Portnerhofes,1,,,
326,"Es figuriert im ältesten Häuserverzeichnis (nach 1480) als «der Schwestren Hus uß nögersegg» (Mitt. XI, S. 186).",ORG: Hus | PER: nögersegg,2,,,
328,Über das Verhältnis der beiden Niederlassungen in Notkersegg und dem Portnerhof ist nichts bekannt.,LOC: Notkersegg | LOC: Portnerhof,2,,,
331,"35 an sich und übergab es dem städtischen Kirchenpfleger (Vad. III, S.242).",,0,,,
